slug,level,is_stub,lsc_name,breadcrumb,triage,apqc_id,apqc_hier,apqc_depth,level_delta,apqc_name,apqc_match_score,apqc_name_only_score,apqc_description,eia_term,eia_definition,eia_url,agreement,decision,adopted_definition,provenance,web_validator,web_agreement,Decision,Notes
CM-1-3-1-4-2,5,no,Define Analysis Objectives & Scope,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Customer And Marketer Analysis > Define Analysis Objectives & Scope,STRONG,19521,3.6.1.1,4,1,Define objectives,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-1-4-3,5,no,Analyze Data,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Customer And Marketer Analysis > Analyze Data,STRONG,20962,13.8.3,3,2,Analyze data,1.0,1.0,Conducting data analysis. Choose statistical algorithms that best reveal patterns and trends in the data. Compare with hypotheses and time series forecasts. Determine error rates and significant outliers.,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-1-4-4,5,no,Document Findings,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Customer And Marketer Analysis > Document Findings,WEAK,14095,9.11.7,3,2,Document trade,0.5,0.5,"Documenting and recording the trade processes while making transactions, noting the description, quality, number, transportation medium, indemnity, and inspection.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-1-5,4,no,Competitor Analysis,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Competitor Analysis,WEAK,13169,3.2.2.1,4,0,Conduct pricing analysis,0.4,0.4,"Analyzing marketing objectives, consumer demand, product attributes, competitors' pricing, and economic trends to determine optimum prices for the set of products and services that the company offers or intends to offer by delivering maximum ROI.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-1-5-1,5,no,Source & Collect Information,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Competitor Analysis > Source & Collect Information,WEAK,10195,3.5.5.2,4,1,Collect and maintain account information,0.571,0.571,"Collecting and maintaining all account information. Collect information about the purchase, servicing, return, and/or commitment of any products/services on part of the organization to its customers. Bring together information from various organizational divisions, and update periodically.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-1-5-2,5,no,Define Analysis Objectives & Scope,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Competitor Analysis > Define Analysis Objectives & Scope,STRONG,19521,3.6.1.1,4,1,Define objectives,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-1-5-3,5,no,Analyze Data,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Competitor Analysis > Analyze Data,STRONG,20962,13.8.3,3,2,Analyze data,1.0,1.0,Conducting data analysis. Choose statistical algorithms that best reveal patterns and trends in the data. Compare with hypotheses and time series forecasts. Determine error rates and significant outliers.,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-1-5-4,5,no,Document Findings,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Competitor Analysis > Document Findings,WEAK,14095,9.11.7,3,2,Document trade,0.5,0.5,"Documenting and recording the trade processes while making transactions, noting the description, quality, number, transportation medium, indemnity, and inspection.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-1-6,4,no,Insight and Metrics,Downstream Operations > Commercial & Marketing > Marketing > Market Analysis & Insight > Insight and Metrics,WEAK,19954,1.2.5.2,4,0,Establish baseline metrics,0.4,0.4,Establishing baselines that provide standards for assessing performance. Create metrics and KPI's for various functions/processes/activities based on organizational goals.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-1,4,no,Brand Strategy,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Brand Strategy,WEAK,11095,13.5.1,3,1,Develop KM strategy,0.5,0.5,"Creating a plan for managing the organization's knowledge base. Determine what kind of specialized knowledge the organization possesses, which elements of this collective knowledge can prove beneficial, how to capture and maintain this knowledge, how to grant access to this library of information, and how the organization should proceed.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-1-1,5,no,Formulate and Evaluate Strategic Operating Alternative,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Brand Strategy > Formulate and Evaluate Strategic Operating Alternative,WEAK,10058,1.3.2,3,2,Evaluate strategic initiatives,0.5,0.5,"Examining projects of strategic significance that lie outside the purview of the organization's routine operations. Closely analyze strategic initiatives for their applicability and feasibility, given the organization's vision.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-1-2,5,no,Establish Brand Objectives and hypothesis,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Brand Strategy > Establish Brand Objectives and hypothesis,WEAK,20002,3.2.3.2,4,1,Establish channel objectives,0.571,0.571,"Identifying the role that each chosen marketing channels plays in the larger distribution network with respect to the organizational marketing strategy. Determine intermediary costs for shipping, handling, transporting, warehousing, insurance and marketing that incur and accumulate in the distribution channel.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-1-3,5,no,Develop & Test Brand Hypothesis,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Brand Strategy > Develop & Test Brand Hypothesis,WEAK,10102,3.2,2,3,Develop marketing strategy,0.5,0.286,"Charting a strategic course for marketing products/services. This will include defining the value proposition, creating a mechanism for pricing, and determining the right mix of marketing channels. Create a specific positioning and branding for the organization's offerings. Enlist marketing head to lead, with inputs from the business development and sales functions.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-1-4,5,no,Develop / update Brand,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Brand Strategy > Develop / update Brand,WEAK,10102,3.2,2,3,Develop marketing strategy,0.545,0.333,"Charting a strategic course for marketing products/services. This will include defining the value proposition, creating a mechanism for pricing, and determining the right mix of marketing channels. Create a specific positioning and branding for the organization's offerings. Enlist marketing head to lead, with inputs from the business development and sales functions.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-2,4,no,Customer And Marketer Value Proposition,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer And Marketer Value Proposition,STRONG,11168,3.2.1,3,1,Define offering and customer value proposition,0.667,0.667,"Refining the attributes of organizational offerings to define their value proposition for the customer. Clearly define the suite of offerings in terms of the value delivered, from the perspective of what the customer desires. Validate the benefits delivered to the customers against target market segments, using techniques such as minimum viable product. Position brands for the respective products/services, in line with their unique value proposition and aligned with customers needs.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Value Proposition',0.321,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-2-1,5,no,Test Customer value proposition,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer And Marketer Value Proposition > Test Customer value proposition,STRONG,11168,3.2.1,3,2,Define offering and customer value proposition,0.667,0.667,"Refining the attributes of organizational offerings to define their value proposition for the customer. Clearly define the suite of offerings in terms of the value delivered, from the perspective of what the customer desires. Validate the benefits delivered to the customers against target market segments, using techniques such as minimum viable product. Position brands for the respective products/services, in line with their unique value proposition and aligned with customers needs.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Value Proposition',0.321,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-2-2,5,no,Formulate and Evaluate Strategic Operating Alternatives (CVP),Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer And Marketer Value Proposition > Formulate and Evaluate Strategic Operating Alternatives (CVP),WEAK,10058,1.3.2,3,2,Evaluate strategic initiatives,0.444,0.444,"Examining projects of strategic significance that lie outside the purview of the organization's routine operations. Closely analyze strategic initiatives for their applicability and feasibility, given the organization's vision.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-2-3,5,no,Establish CVP principles and objectives,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer And Marketer Value Proposition > Establish CVP principles and objectives,WEAK,20002,3.2.3.2,4,1,Establish channel objectives,0.571,0.571,"Identifying the role that each chosen marketing channels plays in the larger distribution network with respect to the organizational marketing strategy. Determine intermediary costs for shipping, handling, transporting, warehousing, insurance and marketing that incur and accumulate in the distribution channel.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-2-4,5,no,Develop/Update Strategy (CVP),Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer And Marketer Value Proposition > Develop/Update Strategy (CVP),STRONG,11095,13.5.1,3,2,Develop KM strategy,0.667,0.667,"Creating a plan for managing the organization's knowledge base. Determine what kind of specialized knowledge the organization possesses, which elements of this collective knowledge can prove beneficial, how to capture and maintain this knowledge, how to grant access to this library of information, and how the organization should proceed.",,,,pending,NEEDS REVIEW,,,IGI Global Scientific Publishing: 'Knowledge Management (KM) Strategy',0.176,REJECTED,FALSE MATCH: LSC 'Develop/Update Strategy (CVP)' is customer-value-proposition strategy; APQC 'Develop KM strategy' (11095) is knowledge-management strategy. Different 'strategy' senses.
CM-1-3-2-3,4,no,Consumer Value Proposition,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Consumer Value Proposition,WEAK,11168,3.2.1,3,1,Define offering and customer value proposition,0.5,0.5,"Refining the attributes of organizational offerings to define their value proposition for the customer. Clearly define the suite of offerings in terms of the value delivered, from the perspective of what the customer desires. Validate the benefits delivered to the customers against target market segments, using techniques such as minimum viable product. Position brands for the respective products/services, in line with their unique value proposition and aligned with customers needs.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-3-1,5,no,Test Customer value proposition,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Consumer Value Proposition > Test Customer value proposition,STRONG,11168,3.2.1,3,2,Define offering and customer value proposition,0.667,0.667,"Refining the attributes of organizational offerings to define their value proposition for the customer. Clearly define the suite of offerings in terms of the value delivered, from the perspective of what the customer desires. Validate the benefits delivered to the customers against target market segments, using techniques such as minimum viable product. Position brands for the respective products/services, in line with their unique value proposition and aligned with customers needs.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Value Proposition',0.321,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-3-2,5,no,Formulate and Evaluate Strategic Operating Alternatives (CVP),Downstream Operations > Commercial & Marketing > Marketing > Strategy > Consumer Value Proposition > Formulate and Evaluate Strategic Operating Alternatives (CVP),WEAK,10058,1.3.2,3,2,Evaluate strategic initiatives,0.444,0.444,"Examining projects of strategic significance that lie outside the purview of the organization's routine operations. Closely analyze strategic initiatives for their applicability and feasibility, given the organization's vision.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-3-3,5,no,Establish CVP principles and objectives,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Consumer Value Proposition > Establish CVP principles and objectives,WEAK,20002,3.2.3.2,4,1,Establish channel objectives,0.571,0.571,"Identifying the role that each chosen marketing channels plays in the larger distribution network with respect to the organizational marketing strategy. Determine intermediary costs for shipping, handling, transporting, warehousing, insurance and marketing that incur and accumulate in the distribution channel.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-3-4,5,no,Develop/Update Strategy (CVP),Downstream Operations > Commercial & Marketing > Marketing > Strategy > Consumer Value Proposition > Develop/Update Strategy (CVP),STRONG,11095,13.5.1,3,2,Develop KM strategy,0.667,0.667,"Creating a plan for managing the organization's knowledge base. Determine what kind of specialized knowledge the organization possesses, which elements of this collective knowledge can prove beneficial, how to capture and maintain this knowledge, how to grant access to this library of information, and how the organization should proceed.",,,,pending,NEEDS REVIEW,,,IGI Global Scientific Publishing: 'Knowledge Management (KM) Strategy',0.176,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-4,4,no,Sales & Distribution Channel Strategy,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Sales & Distribution Channel Strategy,WEAK,10103,3.4,2,2,Develop sales strategy,0.571,0.571,"Developing concrete plans for guiding and providing support to the sales function. Chart a road map for the sales function, including an analysis of historical sales data to create forecasts for anticipated sales, forming sales targets, forging partnerships with other economic agents to boost sales, devising a budget for this function, and determining metrics to measure customer management activities as well as progress in achieving sales targets.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-4-1,5,no,Conduct Channel of trade diagnostics,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Sales & Distribution Channel Strategy > Conduct Channel of trade diagnostics,WEAK,11466,3.4.2.6,4,1,Conduct planning activities for major trade customers,0.4,0.4,"Arranging meetings with trade partners to coordinate logistics, manage critical resources, resolve bottlenecks, and schedule urgent or time-sensitive matters.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-4-2,5,no,Establish operating Objectives and develop Channel Strategy Hypothesis,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Sales & Distribution Channel Strategy > Establish operating Objectives and develop Channel Strategy Hypothesis,STRONG,20002,3.2.3.2,4,1,Establish channel objectives,0.6,0.6,"Identifying the role that each chosen marketing channels plays in the larger distribution network with respect to the organizational marketing strategy. Determine intermediary costs for shipping, handling, transporting, warehousing, insurance and marketing that incur and accumulate in the distribution channel.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Distribution Channel',0.125,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-5,4,no,Customer Experience Strategy,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer Experience Strategy,STRONG,19959,1.2.7,3,1,Develop customer experience strategy,0.857,0.857,Defining a roadmap to meet customer expectations while considering how it will affect the business.,,,,pending,NEEDS REVIEW,,,IBM: 'How to Build a Successful Customer Experience Strategy',0.038,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-5-1,5,no,Identify Customer Experience Aspiration,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer Experience Strategy > Identify Customer Experience Aspiration,WEAK,19960,1.2.7.1,4,1,Assess customer experience,0.571,0.571,"Measuring customer feedback in regard to product and services effectiveness based on overall satisfaction. The data to be analyzed is collected through surveys, customer responses, and feedbacks based on the delivered products/services.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-2-5-2,5,no,Define Customer Experience Guiding Principles,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer Experience Strategy > Define Customer Experience Guiding Principles,STRONG,19967,1.2.7.2.4,5,0,Define a vision for the customer experience,0.667,0.667,"Establishing a direction and vision on how the organization behaves towards customers in a consistent, effective way. The key attributes for customer experience vision consists of emotional connection, commitments and expectations, compelling value proposition, and ease of understanding the organization's behavior.",,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-2-5-3,5,no,Establish Customer Experience Strategic Pillars,Downstream Operations > Commercial & Marketing > Marketing > Strategy > Customer Experience Strategy > Establish Customer Experience Strategic Pillars,WEAK,10020,1.1.4,3,2,Establish strategic vision,0.5,0.5,Establishing the organization's long-term vision as a strategic positioning and engagement of stakeholders. Institute the vision by creating strategic orientations of all stakeholders. Understand the strategy development frameworks in this context.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-1,4,no,Customer Offer Definition,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Customer Offer Definition,WEAK,10464,7.2.4.2,4,0,Negotiate offer,0.4,0.4,Negotiating an offer with selected candidates. Discuss the job offer with the candidate to ensure a mutual understanding.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-1-1,5,no,Define Target Customer Groups,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Customer Offer Definition > Define Target Customer Groups,WEAK,10160,3.3.4.3,4,1,Define target audience,0.571,0.571,"Determining the appropriate audience to direct marketing efforts at. Identify the particular group of customers to target. Discover the appropriate customer groups at a micro-level. Use techniques such as segmentation analysis, whereby the entire population is sliced according to certain demographic or behavioral attributes.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-1-2,5,no,Define Customer Offer,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Customer Offer Definition > Define Customer Offer,WEAK,19967,1.2.7.2.4,5,0,Define a vision for the customer experience,0.571,0.571,"Establishing a direction and vision on how the organization behaves towards customers in a consistent, effective way. The key attributes for customer experience vision consists of emotional connection, commitments and expectations, compelling value proposition, and ease of understanding the organization's behavior.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-1-3,5,no,Validate Customer Offer,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Customer Offer Definition > Validate Customer Offer,WEAK,19968,1.2.7.2.5,5,0,Validate with customers,0.4,0.4,"Creating a process to validate the sales process and the assumptions that underpin the business model. Understand if the products/services have a repeatable, scalable business model around that product.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-1-4,5,no,Define KPI Framework,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Customer Offer Definition > Define KPI Framework,WEAK,19521,3.6.1.1,4,1,Define objectives,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-2,4,no,Pricing Strategy Management,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management,STRONG,10123,3.2.2,3,1,Define pricing strategy,0.667,0.667,"Creating a pricing strategy and mechanism that aligns with the benefits of the products/services, as perceived by customers. Chart a strategic course and a methodology that can guide the pricing of products/services. Draw heavily from the customer value proposition, and balance the expectations of different divisions inside the organization, while delivering the maximum ROI.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'Pricing strategies',0.133,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-2-1,5,no,Define Strategic Pricing Approach,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management > Define Strategic Pricing Approach,WEAK,19949,1.1.4.1,4,1,Define the strategic vision,0.571,0.571,"Developing goals to define organizations vision. Define and document ideas, direction, and activities which enable the organization to reach these goals.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-2-2,5,no,Develop Integrated Pricing Strategy,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management > Develop Integrated Pricing Strategy,STRONG,11095,13.5.1,3,2,Develop KM strategy,0.667,0.667,"Creating a plan for managing the organization's knowledge base. Determine what kind of specialized knowledge the organization possesses, which elements of this collective knowledge can prove beneficial, how to capture and maintain this knowledge, how to grant access to this library of information, and how the organization should proceed.",,,,pending,NEEDS REVIEW,,,IGI Global Scientific Publishing: 'Knowledge Management (KM) Strategy',0.176,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-2-3,5,no,Analyze Pricing Performance,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management > Analyze Pricing Performance,STRONG,16500,3.2.4.4,4,1,Analyze performance,0.8,0.8,"Conducting an analysis to review channel performance with respect to chosen metrics, benchmarks and performance targets [16573]. Compare to past performance and forecasts for the channel.",,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-2-4,5,no,Conduct Pricing Pilots,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management > Conduct Pricing Pilots,STRONG,13169,3.2.2.1,4,1,Conduct pricing analysis,0.667,0.667,"Analyzing marketing objectives, consumer demand, product attributes, competitors' pricing, and economic trends to determine optimum prices for the set of products and services that the company offers or intends to offer by delivering maximum ROI.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'Price analysis',0.2,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-2-5,5,no,Define KPI Framework,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Pricing Strategy Management > Define KPI Framework,WEAK,19521,3.6.1.1,4,1,Define objectives,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-3,4,no,Sales & Distribution Channel Design,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design,NONE,16819,2.3.1.8.1,5,-1,Design for manufacturing,0.333,0.333,"Carrying out the steps necessary to appropriately manufacture correct parts.  This includes designing application, product hardware, mold, casting, mechanical, and electrical aspects of the product.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-3-3-3-1,5,no,Create Channel Offering & Value Proposition,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design > Create Channel Offering & Value Proposition,STRONG,11168,3.2.1,3,2,Define offering and customer value proposition,0.6,0.6,"Refining the attributes of organizational offerings to define their value proposition for the customer. Clearly define the suite of offerings in terms of the value delivered, from the perspective of what the customer desires. Validate the benefits delivered to the customers against target market segments, using techniques such as minimum viable product. Position brands for the respective products/services, in line with their unique value proposition and aligned with customers needs.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Value Proposition',0.321,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-3-2,5,no,Define Channel Portfolio,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design > Define Channel Portfolio,STRONG,16403,13.2.1.2,4,1,Define portfolio governance,0.667,0.667,"Outlining the administration of business portfolio of the organization. Create and manage the rules and regulations regarding the business processes in order to identify, select, prioritize, and monitor portfolio components. Include a set of metrics to indicate the health and progress of the portfolio in the most vital area.",,,,pending,NEEDS REVIEW,,,ProjectManagement.com (PMI) — Portfolio Governance,0.056,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-3-3,5,no,Segment Channels,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design > Segment Channels,WEAK,20001,3.2.3.1,4,1,Determine channels to be supported,0.4,0.4,"Deciding which distributors, wholesalers and retailers the company will use to promote its offerings and to distribute its products and services to the target market. Narrowing down which intermediaries the company will use will affect retail prices of individual products, and should therefore be included in the pricing analysis.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-3-4,5,no,"Develop Channel Structure, Size & Engagement Model","Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design > Develop Channel Structure, Size & Engagement Model",WEAK,16592,3.2.3.9.3,5,0,Develop omni-channel policies and procedures,0.364,0.364,Determining the detailed policies and procedures that each of the channels needs to follow in order to conform to the organizational marketing strategy and to provide seamless customer service experience.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-3-5,5,no,Define KPI Framework,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Sales & Distribution Channel Design > Define KPI Framework,WEAK,19521,3.6.1.1,4,1,Define objectives,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-4,4,no,Network Design (Retail),Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Network Design (Retail),STRONG,10344,4.4.1.2,4,0,Design logistics network,0.667,0.667,"Developing a network for logistical activities. Create a network of entities through which materials and information flow, encompassing all related activities associated with the flow of transformation of products.",,,,pending,NEEDS REVIEW,,,ASEAN (Logistics Planning and Analysis): 'Logistics network',0.154,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-4-1,5,no,Define Target Location,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Network Design (Retail) > Define Target Location,STRONG,10160,3.3.4.3,4,1,Define target audience,0.667,0.667,"Determining the appropriate audience to direct marketing efforts at. Identify the particular group of customers to target. Discover the appropriate customer groups at a micro-level. Use techniques such as segmentation analysis, whereby the entire population is sliced according to certain demographic or behavioral attributes.",,,,pending,NEEDS REVIEW,,,Wikipedia — Target audience,0.2,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-4-2,5,no,Formulate And Evaluate Strategic Operating Alternatives (network Strategy),Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Network Design (Retail) > Formulate And Evaluate Strategic Operating Alternatives (network Strategy),WEAK,10058,1.3.2,3,2,Evaluate strategic initiatives,0.4,0.4,"Examining projects of strategic significance that lie outside the purview of the organization's routine operations. Closely analyze strategic initiatives for their applicability and feasibility, given the organization's vision.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-4-3,5,no,Define Target Network Size,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Network Design (Retail) > Define Target Network Size,WEAK,10160,3.3.4.3,4,1,Define target audience,0.571,0.571,"Determining the appropriate audience to direct marketing efforts at. Identify the particular group of customers to target. Discover the appropriate customer groups at a micro-level. Use techniques such as segmentation analysis, whereby the entire population is sliced according to certain demographic or behavioral attributes.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-4-4,5,no,Define KPI Framework,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Network Design (Retail) > Define KPI Framework,WEAK,19521,3.6.1.1,4,1,Define objectives,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-3-3-5,4,no,Marketing Communications Strategy,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Marketing Communications Strategy,STRONG,10102,3.2,2,2,Develop marketing strategy,0.667,0.667,"Charting a strategic course for marketing products/services. This will include defining the value proposition, creating a mechanism for pricing, and determining the right mix of marketing channels. Create a specific positioning and branding for the organization's offerings. Enlist marketing head to lead, with inputs from the business development and sales functions.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'Marketing strategy',0.176,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-5-1,5,no,Define Media Strategy,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Marketing Communications Strategy > Define Media Strategy,STRONG,16854,3.2.5.6,4,1,Define new media communication strategy,0.75,0.75,Developing a marketing strategy that is maximally effective in a new or emerging media channel by capitalizing on its novel attributes and capabilities.,,,,pending,NEEDS REVIEW,,,Wikipedia — New media,0.125,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-3-3-5-2,5,no,Define Direct Marketing Strategy,Downstream Operations > Commercial & Marketing > Marketing > Offer Design & Development > Marketing Communications Strategy > Define Direct Marketing Strategy,STRONG,16851,3.2.5.3,4,1,Define direct marketing strategy,1.0,1.0,"Devising a master plan how to select potential customers or qualified clients for customized offers, and contact them on one-to-one basis through chat, phone, email or regular mail. The strategy would need to take into account that personalizing offers and contacting customers individually is an effective but resource-intensive marketing technique, and that ill-targeted offers risk at angering and alienating the contactees.",,,,pending,NEEDS REVIEW,,,Investopedia: 'Direct Marketing',0.103,NO SOURCE,strong APQC candidate but no validator agreed
